start_date,city,#trips
2020-03-24,San Francisco,1512
2020-03-25,Chicago,5161
2020-03-25,NYC,12066
2020-03-25,San Francisco,2163
2020-03-26,Chicago,1664
2020-03-26,NYC,21996
2020-03-26,San Francisco,2216
2020-03-27,Chicago,1490
2020-03-27,NYC,26504
2020-03-27,San Francisco,2330
2020-03-28,Chicago,1443
2020-03-28,NYC,8871
2020-03-28,San Francisco,2019
2020-03-29,Chicago,1461
2020-03-29,NYC,9646
2020-03-29,San Francisco,2009
2020-03-30,Chicago,1938
2020-03-30,NYC,15041
2020-03-30,San Francisco,2249
2020-03-31,Chicago,1622
2020-03-31,NYC,14996
2020-03-31,San Francisco,2380
2020-04-01,Chicago,2294
2020-04-01,NYC,20363
2020-04-01,San Francisco,4241
2020-04-02,Chicago,2608
2020-04-02,NYC,19012
2020-04-02,San Francisco,2325
2020-04-03,Chicago,3532
2020-04-03,NYC,11309
2020-04-03,San Francisco,2698
2020-04-04,Chicago,2288
2020-04-04,NYC,28867
2020-04-04,San Francisco,1331
2020-04-05,Chicago,2887
2020-04-05,NYC,25755
2020-04-05,San Francisco,1507
2020-04-06,Chicago,2427
2020-04-06,NYC,24660
2020-04-06,San Francisco,1178
2020-04-07,Chicago,5185
2020-04-07,NYC,23646
2020-04-07,San Francisco,2453
2020-04-08,Chicago,2365
2020-04-08,NYC,20744
2020-04-08,San Francisco,2239
2020-04-09,Chicago,1972
2020-04-09,NYC,14192
2020-04-09,San Francisco,2377
2020-04-10,Chicago,2721
2020-04-10,NYC,16276
2020-04-10,San Francisco,2763
2020-04-11,Chicago,4458
2020-04-11,NYC,33142
2020-04-11,San Francisco,2778
2020-04-12,Chicago,3670
2020-04-12,NYC,31564
2020-04-12,San Francisco,2951
2020-04-13,Chicago,1820
2020-04-13,NYC,7797
2020-04-13,San Francisco,2393
2020-04-14,Chicago,1609
2020-04-14,NYC,25283
2020-04-14,San Francisco,3007
2020-04-15,Chicago,1419
2020-04-15,NYC,22188
2020-04-15,San Francisco,2849
2020-04-16,Chicago,2272
2020-04-16,NYC,19570
2020-04-16,San Francisco,2336
2020-04-17,Chicago,1435
2020-04-17,NYC,18893
